OBS_ID,MODE,availability_AIR,availability_TRAIN,availability_BUS,availability_CAR,HINC,PSIZE,TTME_AIR,TTME_TRAIN,TTME_BUS,TTME_CAR,INVC_AIR,INVC_TRAIN,INVC_BUS,INVC_CAR,INVT_AIR,INVT_TRAIN,INVT_BUS,INVT_CAR,GC_AIR,GC_TRAIN,GC_BUS,GC_CAR
26,0,1,1,1,1,60,1,30.0,44.0,53.0,0.0,85.0,90.0,45.0,86.0,140.0,928.0,918.0,902.0,106.0,231.0,185.0,223.0
27,0,1,1,1,1,45,1,80.0,34.0,35.0,0.0,75.0,70.0,31.0,39.0,110.0,638.0,632.0,581.0,87.0,140.0,100.0,102.0
28,0,1,1,1,1,18,2,45.0,44.0,53.0,0.0,85.0,39.0,35.0,19.0,140.0,664.0,658.0,592.0,106.0,139.0,135.0,109.0
29,1,1,1,1,1,8,2,64.0,60.0,53.0,0.0,74.0,43.0,21.0,9.0,179.0,320.0,345.0,321.0,101.0,91.0,74.0,58.0
30,1,1,1,1,1,6,1,69.0,2.0,35.0,0.0,59.0,11.0,13.0,13.0,100.0,285.0,417.0,284.0,70.0,42.0,58.0,44.0
31,1,1,1,1,1,20,1,69.0,5.0,35.0,0.0,59.0,17.0,25.0,13.0,101.0,300.0,420.0,297.0,70.0,50.0,70.0,45.0
32,1,1,1,1,1,45,1,69.0,15.0,35.0,0.0,64.0,32.0,29.0,18.0,90.0,325.0,405.0,327.0,73.0,67.0,73.0,54.0
33,1,1,1,1,1,70,2,64.0,45.0,53.0,0.0,59.0,29.0,26.0,9.0,73.0,290.0,395.0,314.0,70.0,73.0,86.0,57.0
34,1,1,1,1,1,4,1,69.0,10.0,35.0,0.0,62.0,31.0,19.0,17.0,66.0,295.0,397.0,307.0,70.0,63.0,62.0,50.0
35,1,1,1,1,1,40,1,69.0,15.0,35.0,0.0,60.0,15.0,26.0,12.0,132.0,330.0,373.0,309.0,75.0,50.0,67.0,46.0
36,1,1,1,1,1,35,1,69.0,10.0,35.0,0.0,60.0,23.0,25.0,17.0,117.0,325.0,425.0,307.0,73.0,58.0,71.0,50.0
37,1,1,1,1,1,40,2,64.0,45.0,53.0,0.0,62.0,24.0,28.0,11.0,184.0,360.0,464.0,427.0,90.0,79.0,98.0,76.0
38,1,1,1,1,1,4,3,64.0,30.0,53.0,0.0,50.0,31.0,14.0,6.0,67.0,265.0,393.0,308.0,60.0,71.0,73.0,53.0
39,1,1,1,1,1,15,4,64.0,55.0,53.0,0.0,48.0,25.0,14.0,4.0,154.0,360.0,462.0,351.0,71.0,80.0,84.0,57.0
40,0,1,1,1,1,26,1,30.0,34.0,35.0,0.0,147.0,96.0,57.0,28.0,100.0,678.0,672.0,629.0,158.0,169.0,130.0,96.0
41,0,1,1,1,1,26,1,75.0,34.0,35.0,0.0,125.0,70.0,31.0,24.0,110.0,596.0,590.0,577.0,137.0,135.0,95.0,87.0
42,0,1,1,1,1,70,1,40.0,34.0,35.0,0.0,152.0,73.0,34.0,24.0,95.0,600.0,594.0,587.0,162.0,138.0,98.0,88.0
43,0,1,1,1,1,70,1,30.0,34.0,35.0,0.0,116.0,71.0,32.0,29.0,180.0,657.0,651.0,629.0,136.0,142.0,102.0,97.0
44,0,1,1,1,1,45,2,40.0,44.0,53.0,0.0,100.0,70.0,31.0,17.0,105.0,622.0,616.0,577.0,116.0,165.0,125.0,105.0
45,0,1,1,1,1,8,2,45.0,44.0,53.0,0.0,105.0,35.0,31.0,12.0,115.0,622.0,616.0,577.0,122.0,130.0,125.0,100.0
46,0,1,1,1,1,70,1,20.0,34.0,35.0,0.0,106.0,72.0,33.0,44.0,190.0,659.0,653.0,592.0,127.0,143.0,104.0,108.0
47,0,1,1,1,1,26,2,60.0,44.0,53.0,0.0,90.0,69.0,30.0,13.0,100.0,596.0,590.0,577.0,105.0,160.0,120.0,101.0
48,0,1,1,1,1,50,1,40.0,34.0,35.0,0.0,48.0,31.0,25.0,16.0,115.0,365.0,410.0,308.0,60.0,70.0,69.0,49.0
49,0,1,1,1,1,10,3,50.0,44.0,53.0,0.0,69.0,16.0,13.0,4.0,85.0,344.0,389.0,315.0,82.0,68.0,72.0,52.0
50,0,1,1,1,1,30,1,75.0,34.0,35.0,0.0,99.0,96.0,57.0,29.0,135.0,678.0,672.0,629.0,114.0,169.0,130.0,97.0
51,0,1,1,1,1,60,2,90.0,44.0,53.0,0.0,64.0,74.0,35.0,20.0,155.0,678.0,672.0,629.0,88.0,177.0,137.0,115.0
52,0,1,1,1,1,30,4,85.0,44.0,53.0,0.0,105.0,56.0,35.0,8.0,85.0,665.0,659.0,587.0,118.0,156.0,135.0,97.0
53,1,1,1,1,1,30,1,69.0,15.0,35.0,0.0,60.0,24.0,25.0,13.0,123.0,365.0,430.0,332.0,73.0,64.0,71.0,49.0
54,1,1,1,1,1,50,2,64.0,30.0,53.0,0.0,58.0,22.0,25.0,9.0,90.0,340.0,417.0,334.0,72.0,74.0,88.0,60.0
55,1,1,1,1,1,6,4,64.0,15.0,53.0,0.0,45.0,22.0,13.0,5.0,73.0,290.0,395.0,314.0,56.0,66.0,73.0,53.0
56,1,1,1,1,1,30,1,69.0,30.0,35.0,0.0,108.0,31.0,44.0,50.0,170.0,875.0,887.0,884.0,126.0,126.0,140.0,146.0
57,1,1,1,1,1,12,1,69.0,45.0,35.0,0.0,110.0,22.0,47.0,38.0,249.0,890.0,955.0,990.0,137.0,119.0,151.0,146.0
58,1,1,1,1,1,36,2,64.0,10.0,53.0,0.0,115.0,44.0,50.0,18.0,138.0,830.0,869.0,862.0,136.0,170.0,182.0,149.0
59,1,1,1,1,1,30,1,69.0,40.0,35.0,0.0,117.0,59.0,48.0,38.0,147.0,790.0,885.0,883.0,133.0,145.0,144.0,134.0
60,1,1,1,1,1,35,3,64.0,50.0,53.0,0.0,88.0,78.0,43.0,16.0,119.0,775.0,840.0,855.0,106.0,196.0,170.0,146.0
61,1,1,1,1,1,6,1,69.0,40.0,35.0,0.0,105.0,43.0,44.0,50.0,196.0,895.0,919.0,935.0,126.0,140.0,144.0,152.0
62,1,1,1,1,1,6,1,64.0,25.0,53.0,0.0,120.0,28.0,52.0,38.0,333.0,870.0,890.0,921.0,170.0,160.0,187.0,178.0
63,1,1,1,1,1,8,2,64.0,25.0,53.0,0.0,103.0,36.0,43.0,19.0,146.0,875.0,943.0,887.0,125.0,169.0,186.0,154.0
64,1,1,1,1,1,6,1,69.0,5.0,35.0,0.0,103.0,22.0,43.0,36.0,138.0,800.0,821.0,846.0,118.0,109.0,132.0,128.0
65,1,1,1,1,1,12,2,64.0,75.0,53.0,0.0,116.0,89.0,47.0,19.0,164.0,685.0,875.0,874.0,141.0,193.0,180.0,152.0
66,2,1,1,1,1,30,1,69.0,34.0,10.0,0.0,103.0,88.0,30.0,50.0,129.0,925.0,790.0,887.0,117.0,189.0,116.0,146.0
67,3,1,1,1,1,35,2,64.0,44.0,53.0,0.0,109.0,101.0,56.0,26.0,230.0,1104.0,1094.0,960.0,144.0,269.0,222.0,172.0
68,2,1,1,1,1,35,1,69.0,34.0,45.0,0.0,108.0,92.0,39.0,52.0,177.0,907.0,850.0,865.0,127.0,191.0,131.0,146.0
69,1,1,1,1,1,60,3,64.0,40.0,53.0,0.0,92.0,73.0,46.0,16.0,161.0,792.0,920.0,887.0,117.0,193.0,186.0,151.0
70,1,1,1,1,1,60,2,64.0,45.0,53.0,0.0,119.0,75.0,51.0,19.0,161.0,765.0,869.0,898.0,143.0,191.0,182.0,155.0
71,1,1,1,1,1,12,2,64.0,40.0,53.0,0.0,109.0,24.0,46.0,27.0,190.0,399.0,951.0,897.0,138.0,85.0,190.0,163.0
72,1,1,1,1,1,10,1,69.0,30.0,35.0,0.0,111.0,30.0,50.0,47.0,108.0,760.0,867.0,844.0,122.0,113.0,144.0,139.0
73,1,1,1,1,1,10,1,69.0,25.0,35.0,0.0,104.0,23.0,45.0,41.0,246.0,830.0,1068.0,978.0,131.0,113.0,161.0,147.0
74,1,1,1,1,1,15,1,69.0,75.0,35.0,0.0,104.0,23.0,43.0,40.0,200.0,835.0,846.0,927.0,126.0,114.0,135.0,141.0
75,1,1,1,1,1,10,2,64.0,30.0,53.0,0.0,124.0,82.0,54.0,19.0,160.0,850.0,893.0,886.0,148.0,211.0,189.0,153.0
76,1,1,1,1,1,8,1,64.0,50.0,53.0,0.0,103.0,73.0,43.0,50.0,145.0,840.0,892.0,894.0,125.0,200.0,178.0,186.0
77,1,1,1,1,1,30,1,69.0,30.0,35.0,0.0,103.0,80.0,42.0,38.0,125.0,800.0,844.0,861.0,116.0,167.0,134.0,132.0
78,3,1,1,1,1,20,2,64.0,44.0,53.0,0.0,113.0,51.0,49.0,26.0,163.0,948.0,938.0,720.0,137.0,195.0,191.0,135.0
79,3,1,1,1,1,70,5,64.0,44.0,53.0,0.0,76.0,63.0,44.0,10.0,147.0,918.0,908.0,1440.0,98.0,203.0,182.0,228.0
80,2,1,1,1,1,20,1,69.0,34.0,30.0,0.0,108.0,89.0,43.0,35.0,163.0,905.0,785.0,879.0,125.0,187.0,128.0,130.0
81,2,1,1,1,1,60,1,69.0,34.0,60.0,0.0,127.0,109.0,52.0,50.0,193.0,888.0,1025.0,892.0,148.0,205.0,163.0,147.0
82,3,1,1,1,1,70,4,64.0,44.0,53.0,0.0,44.0,25.0,20.0,5.0,100.0,351.0,361.0,180.0,59.0,78.0,75.0,32.0
83,1,1,1,1,1,8,1,69.0,1.0,35.0,0.0,59.0,11.0,13.0,17.0,98.0,320.0,413.0,332.0,69.0,46.0,57.0,53.0
84,1,1,1,1,1,30,1,69.0,25.0,35.0,0.0,59.0,60.0,25.0,8.0,114.0,337.0,423.0,335.0,72.0,97.0,71.0,44.0
85,0,1,1,1,1,70,2,25.0,44.0,53.0,0.0,65.0,69.0,30.0,16.0,140.0,596.0,590.0,577.0,86.0,160.0,120.0,104.0
86,1,1,1,1,1,60,1,69.0,10.0,35.0,0.0,60.0,37.0,28.0,14.0,67.0,285.0,400.0,320.0,67.0,68.0,72.0,49.0
87,3,1,1,1,1,20,2,64.0,44.0,53.0,0.0,59.0,17.0,14.0,5.0,118.0,349.0,359.0,240.0,77.0,70.0,68.0,41.0
88,1,1,1,1,1,15,1,69.0,10.0,35.0,0.0,61.0,18.0,27.0,12.0,72.0,305.0,396.0,332.0,69.0,51.0,70.0,48.0
89,3,1,1,1,1,30,2,64.0,44.0,53.0,0.0,59.0,32.0,26.0,6.0,118.0,349.0,359.0,265.0,77.0,85.0,80.0,46.0
90,1,1,1,1,1,26,2,64.0,20.0,53.0,0.0,60.0,40.0,26.0,10.0,74.0,262.0,389.0,315.0,71.0,80.0,85.0,58.0
91,1,1,1,1,1,35,4,64.0,20.0,53.0,0.0,44.0,30.0,19.0,4.0,93.0,291.0,346.0,316.0,58.0,74.0,72.0,52.0
92,1,1,1,1,1,12,1,69.0,10.0,35.0,0.0,58.0,30.0,25.0,14.0,124.0,340.0,427.0,364.0,71.0,67.0,71.0,54.0
93,3,1,1,1,1,70,2,64.0,44.0,53.0,0.0,84.0,70.0,31.0,15.0,108.0,596.0,590.0,360.0,100.0,160.0,120.0,70.0
94,0,1,1,1,1,50,1,30.0,44.0,53.0,0.0,145.0,31.0,25.0,13.0,90.0,343.0,388.0,296.0,158.0,83.0,84.0,58.0
95,0,1,1,1,1,40,2,45.0,44.0,53.0,0.0,121.0,92.0,47.0,20.0,100.0,926.0,916.0,885.0,136.0,233.0,186.0,154.0
96,0,1,1,1,1,70,1,30.0,34.0,35.0,0.0,84.0,72.0,33.0,26.0,180.0,707.0,701.0,626.0,103.0,149.0,109.0,94.0
97,2,1,1,1,1,10,1,69.0,34.0,5.0,0.0,61.0,17.0,31.0,13.0,146.0,409.0,300.0,350.0,77.0,61.0,64.0,51.0
98,0,1,1,1,1,26,1,45.0,34.0,35.0,0.0,180.0,89.0,44.0,39.0,160.0,985.0,975.0,896.0,197.0,196.0,150.0,136.0
99,2,1,1,1,1,50,3,64.0,44.0,40.0,0.0,94.0,79.0,32.0,13.0,231.0,949.0,1110.0,942.0,129.0,223.0,201.0,156.0
100,3,1,1,1,1,70,3,64.0,44.0,53.0,0.0,92.0,77.0,46.0,17.0,203.0,961.0,951.0,780.0,123.0,223.0,190.0,135.0
101,2,1,1,1,1,30,1,69.0,34.0,15.0,0.0,59.0,31.0,25.0,23.0,111.0,376.0,360.0,351.0,71.0,72.0,64.0,61.0
102,3,1,1,1,1,50,5,64.0,44.0,53.0,0.0,75.0,64.0,45.0,13.0,153.0,900.0,890.0,720.0,99.0,201.0,180.0,122.0
103,3,1,1,1,1,20,1,69.0,34.0,35.0,0.0,58.0,16.0,13.0,13.0,99.0,366.0,411.0,300.0,68.0,55.0,57.0,46.0
104,3,1,1,1,1,32,2,64.0,44.0,53.0,0.0,110.0,91.0,46.0,21.0,153.0,874.0,864.0,960.0,133.0,223.0,177.0,167.0
105,3,1,1,1,1,27,2,64.0,44.0,53.0,0.0,108.0,90.0,45.0,20.0,187.0,932.0,922.0,1440.0,136.0,231.0,185.0,238.0
106,2,1,1,1,1,30,1,69.0,34.0,30.0,0.0,104.0,89.0,28.0,40.0,179.0,978.0,795.0,904.0,123.0,195.0,114.0,138.0
107,3,1,1,1,1,35,1,69.0,34.0,35.0,0.0,108.0,89.0,44.0,34.0,180.0,901.0,891.0,720.0,128.0,187.0,141.0,112.0
108,3,1,1,1,1,40,4,64.0,44.0,53.0,0.0,78.0,66.0,43.0,11.0,146.0,903.0,893.0,870.0,100.0,203.0,178.0,143.0
109,3,1,1,1,1,60,2,64.0,44.0,53.0,0.0,60.0,32.0,26.0,8.0,144.0,404.0,449.0,270.0,82.0,93.0,94.0,49.0
110,3,1,1,1,1,40,4,64.0,44.0,53.0,0.0,78.0,67.0,44.0,12.0,175.0,932.0,922.0,720.0,105.0,208.0,183.0,121.0
111,3,1,1,1,1,70,1,69.0,34.0,35.0,0.0,67.0,38.0,32.0,12.0,108.0,370.0,415.0,240.0,79.0,78.0,77.0,38.0
112,3,1,1,1,1,70,2,64.0,44.0,53.0,0.0,108.0,90.0,45.0,19.0,200.0,944.0,934.0,720.0,139.0,234.0,187.0,128.0
113,0,1,1,1,1,30,2,60.0,44.0,53.0,0.0,108.0,32.0,26.0,7.0,80.0,344.0,389.0,315.0,120.0,84.0,85.0,55.0
114,0,1,1,1,1,35,2,30.0,44.0,53.0,0.0,58.0,32.0,26.0,8.0,90.0,506.0,551.0,402.0,72.0,109.0,110.0,69.0
115,0,1,1,1,1,60,1,55.0,34.0,35.0,0.0,69.0,43.0,37.0,13.0,115.0,392.0,437.0,268.0,81.0,85.0,84.0,42.0
116,0,1,1,1,1,45,1,40.0,34.0,35.0,0.0,66.0,31.0,25.0,18.0,105.0,372.0,417.0,327.0,77.0,71.0,70.0,54.0
117,2,1,1,1,1,45,1,69.0,34.0,40.0,0.0,57.0,31.0,18.0,13.0,67.0,355.0,245.0,320.0,65.0,69.0,45.0,48.0
118,2,1,1,1,1,6,1,69.0,34.0,20.0,0.0,129.0,67.0,54.0,38.0,185.0,933.0,820.0,894.0,149.0,168.0,143.0,135.0
119,0,1,1,1,1,36,1,90.0,34.0,35.0,0.0,151.0,96.0,51.0,35.0,95.0,895.0,885.0,844.0,161.0,193.0,147.0,127.0
120,0,1,1,1,1,20,1,10.0,34.0,35.0,0.0,70.0,34.0,28.0,22.0,85.0,351.0,396.0,307.0,80.0,72.0,71.0,55.0
121,0,1,1,1,1,20,2,25.0,44.0,53.0,0.0,75.0,15.0,12.0,7.0,100.0,348.0,393.0,290.0,90.0,68.0,72.0,51.0
122,0,1,1,1,1,26,1,99.0,34.0,35.0,0.0,110.0,92.0,47.0,45.0,260.0,934.0,924.0,816.0,138.0,193.0,147.0,134.0
123,0,1,1,1,1,29,1,30.0,34.0,35.0,0.0,94.0,89.0,44.0,58.0,195.0,943.0,933.0,912.0,115.0,191.0,145.0,157.0
124,0,1,1,1,1,8,2,35.0,44.0,53.0,0.0,95.0,45.0,43.0,23.0,155.0,930.0,920.0,860.0,119.0,186.0,183.0,153.0
125,2,1,1,1,1,32,1,69.0,34.0,15.0,0.0,104.0,89.0,38.0,39.0,178.0,992.0,675.0,900.0,123.0,197.0,111.0,137.0
126,2,1,1,1,1,45,2,64.0,44.0,30.0,0.0,103.0,88.0,35.0,18.0,170.0,889.0,770.0,905.0,129.0,222.0,152.0,155.0
127,3,1,1,1,1,45,3,64.0,44.0,53.0,0.0,86.0,75.0,44.0,13.0,167.0,972.0,962.0,870.0,112.0,222.0,190.0,145.0
128,2,1,1,1,1,26,2,64.0,44.0,30.0,0.0,108.0,90.0,36.0,18.0,139.0,862.0,780.0,875.0,129.0,220.0,154.0,151.0
129,3,1,1,1,1,60,1,69.0,34.0,35.0,0.0,59.0,31.0,25.0,13.0,106.0,372.0,417.0,300.0,71.0,71.0,70.0,46.0
130,1,1,1,1,1,10,2,64.0,10.0,53.0,0.0,58.0,35.0,13.0,8.0,124.0,380.0,427.0,364.0,77.0,92.0,78.0,63.0
131,3,1,1,1,1,45,2,64.0,44.0,53.0,0.0,107.0,89.0,44.0,2.0,153.0,880.0,870.0,660.0,131.0,222.0,176.0,102.0
132,3,1,1,1,1,60,3,64.0,44.0,53.0,0.0,86.0,74.0,43.0,16.0,143.0,880.0,870.0,660.0,108.0,207.0,175.0,116.0
133,2,1,1,1,1,60,1,69.0,34.0,15.0,0.0,108.0,91.0,35.0,38.0,196.0,967.0,935.0,903.0,129.0,196.0,136.0,136.0
134,2,1,1,1,1,8,1,69.0,34.0,25.0,0.0,103.0,45.0,25.0,37.0,149.0,892.0,730.0,882.0,119.0,142.0,104.0,133.0
135,3,1,1,1,1,60,2,64.0,44.0,53.0,0.0,103.0,89.0,44.0,34.0,160.0,987.0,977.0,660.0,127.0,239.0,192.0,134.0
136,3,1,1,1,1,12,2,64.0,44.0,53.0,0.0,114.0,60.0,58.0,19.0,161.0,1031.0,1021.0,720.0,138.0,217.0,213.0,128.0
137,3,1,1,1,1,45,1,69.0,34.0,35.0,0.0,107.0,91.0,46.0,36.0,150.0,914.0,904.0,750.0,123.0,190.0,144.0,117.0
138,2,1,1,1,1,50,1,69.0,34.0,5.0,0.0,118.0,96.0,65.0,64.0,137.0,904.0,850.0,859.0,132.0,194.0,157.0,157.0
139,2,1,1,1,1,26,1,69.0,34.0,45.0,0.0,102.0,87.0,35.0,35.0,101.0,870.0,800.0,825.0,113.0,182.0,122.0,125.0
140,3,1,1,1,1,35,3,64.0,44.0,53.0,0.0,85.0,73.0,42.0,12.0,101.0,870.0,860.0,600.0,101.0,205.0,173.0,103.0
141,1,1,1,1,1,12,1,69.0,30.0,35.0,0.0,107.0,61.0,45.0,54.0,158.0,780.0,901.0,853.0,125.0,146.0,143.0,147.0
142,1,1,1,1,1,15,1,69.0,30.0,35.0,0.0,113.0,67.0,49.0,47.0,244.0,845.0,893.0,868.0,140.0,158.0,146.0,141.0
143,1,1,1,1,1,12,4,64.0,99.0,53.0,0.0,84.0,37.0,46.0,10.0,215.0,885.0,966.0,921.0,117.0,171.0,193.0,150.0
144,1,1,1,1,1,35,3,64.0,25.0,53.0,0.0,94.0,68.0,47.0,16.0,163.0,755.0,895.0,879.0,119.0,183.0,183.0,149.0
145,1,1,1,1,1,26,1,69.0,15.0,35.0,0.0,112.0,21.0,45.0,47.0,161.0,797.0,876.0,852.0,129.0,108.0,140.0,140.0
146,1,1,1,1,1,6,1,69.0,45.0,35.0,0.0,103.0,20.0,43.0,35.0,166.0,820.0,836.0,886.0,121.0,109.0,134.0,131.0
147,1,1,1,1,1,4,1,69.0,30.0,35.0,0.0,107.0,33.0,44.0,48.0,152.0,755.0,882.0,845.0,124.0,115.0,140.0,140.0
148,1,1,1,1,1,40,2,64.0,10.0,53.0,0.0,103.0,41.0,43.0,19.0,164.0,730.0,925.0,898.0,128.0,152.0,183.0,155.0
149,1,1,1,1,1,40,1,64.0,10.0,53.0,0.0,143.0,83.0,70.0,50.0,166.0,825.0,896.0,911.0,168.0,208.0,206.0,188.0
150,0,1,1,1,1,60,1,45.0,34.0,35.0,0.0,94.0,91.0,46.0,49.0,270.0,916.0,906.0,872.0,123.0,190.0,144.0,144.0
151,0,1,1,1,1,4,1,45.0,34.0,35.0,0.0,138.0,60.0,58.0,47.0,115.0,880.0,870.0,888.0,150.0,156.0,153.0,143.0
152,0,1,1,1,1,50,1,60.0,34.0,35.0,0.0,102.0,112.0,67.0,43.0,250.0,997.0,952.0,971.0,129.0,220.0,170.0,148.0
153,0,1,1,1,1,60,2,60.0,44.0,53.0,0.0,151.0,91.0,46.0,21.0,255.0,941.0,931.0,959.0,190.0,234.0,187.0,166.0
154,0,1,1,1,1,70,1,60.0,34.0,35.0,0.0,111.0,97.0,52.0,49.0,205.0,888.0,878.0,855.0,133.0,193.0,147.0,142.0
155,0,1,1,1,1,40,2,60.0,44.0,53.0,0.0,70.0,31.0,25.0,7.0,95.0,360.0,405.0,335.0,93.0,85.0,86.0,58.0
156,0,1,1,1,1,35,3,45.0,44.0,53.0,0.0,74.0,26.0,21.0,4.0,70.0,361.0,406.0,315.0,85.0,81.0,82.0,52.0
157,0,1,1,1,1,60,2,75.0,44.0,53.0,0.0,165.0,98.0,53.0,26.0,180.0,967.0,922.0,947.0,192.0,245.0,193.0,170.0
158,0,1,1,1,1,60,1,30.0,34.0,35.0,0.0,93.0,96.0,51.0,54.0,175.0,1030.0,1020.0,967.0,112.0,208.0,162.0,159.0
159,0,1,1,1,1,50,2,90.0,44.0,53.0,0.0,71.0,31.0,25.0,7.0,115.0,385.0,430.0,332.0,89.0,89.0,90.0,57.0
160,0,1,1,1,1,40,3,45.0,44.0,53.0,0.0,75.0,33.0,28.0,5.0,75.0,418.0,463.0,291.0,96.0,96.0,98.0,49.0
161,0,1,1,1,1,60,1,60.0,34.0,35.0,0.0,81.0,32.0,26.0,13.0,70.0,341.0,386.0,307.0,89.0,69.0,68.0,46.0
162,0,1,1,1,1,20,1,75.0,34.0,35.0,0.0,94.0,33.0,27.0,14.0,95.0,367.0,412.0,314.0,104.0,73.0,72.0,48.0
163,3,1,1,1,1,50,3,64.0,44.0,53.0,0.0,70.0,61.0,34.0,11.0,158.0,778.0,772.0,470.0,93.0,179.0,151.0,82.0
164,3,1,1,1,1,70,4,64.0,44.0,53.0,0.0,65.0,54.0,33.0,8.0,145.0,674.0,668.0,560.0,87.0,156.0,135.0,93.0
165,3,1,1,1,1,50,3,64.0,44.0,53.0,0.0,71.0,59.0,32.0,8.0,133.0,625.0,619.0,510.0,91.0,153.0,126.0,85.0
166,3,1,1,1,1,26,1,69.0,34.0,35.0,0.0,81.0,71.0,32.0,33.0,139.0,698.0,692.0,600.0,96.0,147.0,107.0,98.0
167,3,1,1,1,1,45,4,64.0,44.0,53.0,0.0,65.0,53.0,32.0,9.0,154.0,621.0,615.0,535.0,89.0,147.0,125.0,90.0
168,3,1,1,1,1,45,6,64.0,44.0,53.0,0.0,58.0,48.0,32.0,5.0,148.0,646.0,640.0,470.0,80.0,145.0,129.0,76.0
169,3,1,1,1,1,30,1,69.0,34.0,35.0,0.0,81.0,70.0,31.0,30.0,95.0,610.0,604.0,440.0,91.0,136.0,96.0,78.0
170,3,1,1,1,1,40,3,64.0,44.0,53.0,0.0,71.0,59.0,32.0,10.0,145.0,658.0,652.0,590.0,93.0,159.0,131.0,100.0
