No,year,month,day,hour,PM2.5,PM10,SO2,NO2,CO,O3,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,ymd
25362,2016,1,21,17,140.0,140.0,34.0,88.0,2600.0,15.0,-4.4,1028.4,-9.6,0.0,E,1.4,Aotizhongxin,2016-01-21
25386,2016,1,22,17,8.0,42.0,2.0,11.0,500.0,64.0,-11.1,1039.5,-31.4,0.0,NW,5.1,Aotizhongxin,2016-01-22
25410,2016,1,23,17,6.0,64.0,2.0,10.0,600.0,60.0,-15.3,1039.7,-33.8,0.0,NNW,4.8,Aotizhongxin,2016-01-23
25434,2016,1,24,17,15.0,60.0,9.0,19.0,800.0,63.0,-4.7,1032.2,-24.9,0.0,NNW,4.5,Aotizhongxin,2016-01-24
25458,2016,1,25,17,16.0,33.0,22.0,2.0,800.0,61.0,1.0,1022.9,-24.4,0.0,NW,3.2,Aotizhongxin,2016-01-25
25482,2016,1,26,17,19.0,38.0,9.0,9.0,600.0,67.0,0.7,1023.0,-21.6,0.0,WNW,2.8,Aotizhongxin,2016-01-26
25506,2016,1,27,17,122.0,139.0,53.0,,1900.0,44.0,0.9,1022.1,-20.2,0.0,SSW,1.7,Aotizhongxin,2016-01-27
25530,2016,1,28,17,71.0,71.0,30.0,56.0,1400.0,51.0,2.9,1024.9,-18.5,0.0,ENE,1.3,Aotizhongxin,2016-01-28
25554,2016,1,29,17,49.0,75.0,36.0,50.0,1800.0,34.0,-3.4,1029.2,-19.3,0.0,SE,1.9,Aotizhongxin,2016-01-29
25578,2016,1,30,17,46.0,58.0,23.0,60.0,1300.0,25.0,-2.7,1030.2,-21.0,0.0,WSW,2.4,Aotizhongxin,2016-01-30
25602,2016,1,31,17,10.0,17.0,5.0,13.0,400.0,74.0,0.8,1030.9,-21.6,0.0,WNW,3.8,Aotizhongxin,2016-01-31
25626,2016,2,1,17,9.0,33.0,8.0,15.0,400.0,77.0,2.5,1029.3,-19.5,0.0,WNW,3.8,Aotizhongxin,2016-02-01
25650,2016,2,2,17,12.0,18.0,13.0,22.0,500.0,72.0,4.4,1023.5,-20.9,0.0,WNW,2.2,Aotizhongxin,2016-02-02
25674,2016,2,3,17,23.0,23.0,19.0,28.0,600.0,74.0,6.3,1022.0,-19.3,0.0,WSW,1.4,Aotizhongxin,2016-02-03
25698,2016,2,4,17,14.0,22.0,18.0,18.0,500.0,77.0,2.8,1024.1,-18.6,0.0,E,1.8,Aotizhongxin,2016-02-04
25722,2016,2,5,17,16.0,40.0,7.0,10.0,400.0,78.0,2.2,1025.2,-18.5,0.0,NW,5.4,Aotizhongxin,2016-02-05
25746,2016,2,6,17,9.0,16.0,7.0,9.0,400.0,88.0,6.2,1022.1,-19.4,0.0,WNW,2.9,Aotizhongxin,2016-02-06
25770,2016,2,7,17,23.0,60.0,15.0,14.0,500.0,86.0,7.2,1013.0,-17.8,0.0,WNW,3.5,Aotizhongxin,2016-02-07
25794,2016,2,8,17,7.0,28.0,11.0,7.0,300.0,84.0,10.5,1011.2,-13.6,0.0,WNW,4.0,Aotizhongxin,2016-02-08
25818,2016,2,9,17,56.0,73.0,19.0,23.0,1100.0,111.0,9.8,1015.3,-14.2,0.0,SSW,2.4,Aotizhongxin,2016-02-09
25842,2016,2,10,17,120.0,140.0,85.0,65.0,4100.0,59.0,7.8,1011.8,-11.0,0.0,E,1.2,Aotizhongxin,2016-02-10
25866,2016,2,11,17,120.0,120.0,40.0,28.0,1900.0,48.0,6.3,1011.5,1.2,0.0,SW,0.9,Aotizhongxin,2016-02-11
25890,2016,2,12,17,184.0,184.0,12.0,74.0,2800.0,20.0,7.2,1010.2,3.4,0.6,ENE,1.6,Aotizhongxin,2016-02-12
25914,2016,2,13,17,6.0,15.0,7.0,10.0,300.0,65.0,0.5,1022.8,-19.4,0.0,NNW,5.8,Aotizhongxin,2016-02-13
25938,2016,2,14,17,7.0,7.0,2.0,5.0,300.0,74.0,-1.6,1026.6,-21.1,0.0,NW,4.7,Aotizhongxin,2016-02-14
25962,2016,2,15,17,11.0,105.0,13.0,10.0,300.0,76.0,3.2,1019.0,-17.1,0.0,NW,3.8,Aotizhongxin,2016-02-15
25986,2016,2,16,17,5.0,66.0,26.0,9.0,300.0,79.0,7.3,1017.7,-13.1,0.0,NW,6.0,Aotizhongxin,2016-02-16
26010,2016,2,17,17,60.0,60.0,3.0,24.0,600.0,92.0,9.0,1013.6,-11.6,0.0,SW,2.6,Aotizhongxin,2016-02-17
26034,2016,2,18,17,13.0,16.0,2.0,9.0,300.0,91.0,8.1,1015.9,-17.9,0.0,NW,4.5,Aotizhongxin,2016-02-18
26058,2016,2,19,17,7.0,16.0,2.0,7.0,200.0,83.0,4.4,1025.9,-20.1,0.0,NNW,4.2,Aotizhongxin,2016-02-19
26082,2016,2,20,17,17.0,22.0,4.0,8.0,300.0,90.0,3.2,1022.1,-21.8,0.0,NW,3.5,Aotizhongxin,2016-02-20
26106,2016,2,21,17,83.0,148.0,27.0,32.0,900.0,67.0,5.0,1019.9,-10.0,0.0,SW,2.2,Aotizhongxin,2016-02-21
26130,2016,2,22,17,,45.0,2.0,12.0,400.0,84.0,6.3,1023.6,-20.2,0.0,NW,7.0,Aotizhongxin,2016-02-22
26154,2016,2,23,17,7.0,10.0,4.0,7.0,300.0,80.0,1.6,1033.3,-23.9,0.0,NNE,2.8,Aotizhongxin,2016-02-23
26178,2016,2,24,17,25.0,49.0,10.0,16.0,500.0,77.0,5.7,1026.7,-19.0,0.0,NW,3.9,Aotizhongxin,2016-02-24
26202,2016,2,25,17,43.0,68.0,14.0,33.0,900.0,69.0,6.8,1024.8,-16.6,0.0,WSW,3.3,Aotizhongxin,2016-02-25
26226,2016,2,26,17,55.0,86.0,15.0,29.0,800.0,78.0,7.5,1015.7,-14.7,0.0,WSW,2.7,Aotizhongxin,2016-02-26
26250,2016,2,27,17,29.0,38.0,8.0,26.0,500.0,71.0,7.2,1018.7,-11.6,0.0,SW,2.0,Aotizhongxin,2016-02-27
26274,2016,2,28,17,7.0,56.0,2.0,6.0,300.0,83.0,2.8,1027.5,-23.9,0.0,N,5.7,Aotizhongxin,2016-02-28
26298,2016,2,29,17,59.0,86.0,28.0,34.0,900.0,66.0,2.6,1025.8,-17.0,0.0,S,2.0,Aotizhongxin,2016-02-29
26322,2016,3,1,17,114.0,124.0,30.0,67.0,1500.0,61.0,10.1,1015.6,-10.7,0.0,SSW,2.4,Aotizhongxin,2016-03-01
26346,2016,3,2,17,104.0,121.0,20.0,57.0,1300.0,94.0,17.9,1009.6,-6.8,0.0,SSW,1.9,Aotizhongxin,2016-03-02
26370,2016,3,3,17,344.0,344.0,66.0,83.0,3400.0,67.0,13.3,1007.3,0.6,0.0,E,1.3,Aotizhongxin,2016-03-03
26394,2016,3,4,17,318.0,318.0,73.0,106.0,4600.0,11.0,7.9,1013.6,-0.6,0.0,ENE,0.8,Aotizhongxin,2016-03-04
26418,2016,3,5,17,63.0,245.0,2.0,13.0,300.0,83.0,11.1,1013.9,-16.4,0.0,NNW,3.9,Aotizhongxin,2016-03-05
26442,2016,3,6,17,124.0,324.0,64.0,70.0,2200.0,30.0,10.1,1010.0,-8.6,0.0,ENE,1.1,Aotizhongxin,2016-03-06
26466,2016,3,7,17,29.0,43.0,2.0,9.0,200.0,83.0,8.6,1018.6,-19.3,0.0,NW,6.1,Aotizhongxin,2016-03-07
26490,2016,3,8,17,32.0,32.0,3.0,10.0,300.0,81.0,5.0,1024.5,-24.2,0.0,NNW,3.5,Aotizhongxin,2016-03-08
26514,2016,3,9,17,,28.0,3.0,8.0,300.0,81.0,4.6,1026.2,-23.4,0.0,WNW,5.0,Aotizhongxin,2016-03-09
26538,2016,3,10,17,20.0,60.0,4.0,9.0,300.0,89.0,6.5,1022.6,-19.2,0.0,NW,5.5,Aotizhongxin,2016-03-10
26562,2016,3,11,17,26.0,60.0,8.0,23.0,500.0,87.0,7.7,1015.9,-18.2,0.0,S,1.7,Aotizhongxin,2016-03-11
26586,2016,3,12,17,120.0,152.0,58.0,64.0,1800.0,55.0,8.7,1011.3,-7.5,0.0,ESE,0.9,Aotizhongxin,2016-03-12
26610,2016,3,13,17,14.0,26.0,4.0,9.0,300.0,106.0,12.1,1018.2,-16.5,0.0,WNW,4.0,Aotizhongxin,2016-03-13
26634,2016,3,14,17,41.0,86.0,7.0,24.0,400.0,105.0,15.1,1014.7,-14.2,0.0,SSW,2.3,Aotizhongxin,2016-03-14
26658,2016,3,15,17,178.0,262.0,80.0,48.0,1600.0,71.0,12.6,1010.8,-4.5,0.0,WSW,1.7,Aotizhongxin,2016-03-15
26682,2016,3,16,17,290.0,306.0,54.0,32.0,2100.0,179.0,15.9,1010.2,0.4,0.0,SSW,2.1,Aotizhongxin,2016-03-16
26706,2016,3,17,17,284.0,284.0,39.0,43.0,1800.0,145.0,16.8,1004.4,2.0,0.0,SSW,1.5,Aotizhongxin,2016-03-17
26730,2016,3,18,17,56.0,56.0,4.0,23.0,600.0,126.0,20.6,1007.2,-8.8,0.0,ENE,2.4,Aotizhongxin,2016-03-18
26754,2016,3,19,17,46.0,141.0,9.0,27.0,600.0,82.0,14.0,1016.8,-4.7,0.0,S,2.6,Aotizhongxin,2016-03-19
26778,2016,3,20,17,40.0,65.0,3.0,33.0,600.0,102.0,18.3,1019.0,-8.0,0.0,SSW,2.0,Aotizhongxin,2016-03-20
26802,2016,3,21,17,129.0,233.0,31.0,41.0,1100.0,144.0,18.4,1014.2,-2.0,0.0,SW,3.3,Aotizhongxin,2016-03-21
26826,2016,3,22,17,65.0,204.0,16.0,35.0,1200.0,72.0,14.1,1017.4,-2.4,0.0,SW,3.5,Aotizhongxin,2016-03-22
26850,2016,3,23,17,8.0,20.0,2.0,8.0,300.0,101.0,13.6,1025.2,-16.4,0.0,NE,2.4,Aotizhongxin,2016-03-23
26874,2016,3,24,17,11.0,21.0,2.0,10.0,300.0,101.0,13.6,1023.7,-15.3,0.0,SSW,1.5,Aotizhongxin,2016-03-24
26898,2016,3,25,17,16.0,16.0,2.0,8.0,300.0,108.0,14.2,1021.0,-13.0,0.0,E,1.6,Aotizhongxin,2016-03-25
26922,2016,3,26,17,10.0,28.0,10.0,11.0,300.0,105.0,19.5,1016.5,-10.7,0.0,N,2.7,Aotizhongxin,2016-03-26
26946,2016,3,27,17,12.0,38.0,9.0,12.0,300.0,122.0,21.3,1010.4,-14.4,0.0,SW,3.3,Aotizhongxin,2016-03-27
26970,2016,3,28,17,103.0,179.0,26.0,70.0,800.0,84.0,22.0,1003.7,-5.9,0.0,SW,2.4,Aotizhongxin,2016-03-28
26994,2016,3,29,17,25.0,106.0,13.0,17.0,300.0,110.0,22.0,1008.2,-4.2,0.0,SW,2.9,Aotizhongxin,2016-03-29
27018,2016,3,30,17,44.0,128.0,26.0,27.0,900.0,113.0,21.6,1008.4,-4.5,0.0,S,2.5,Aotizhongxin,2016-03-30
27042,2016,3,31,17,196.0,286.0,69.0,32.0,1500.0,152.0,23.0,999.0,6.3,0.0,SSW,3.6,Aotizhongxin,2016-03-31
27066,2016,4,1,17,7.0,23.0,9.0,8.0,200.0,98.0,19.8,1005.8,-3.2,0.0,N,4.8,Aotizhongxin,2016-04-01
27090,2016,4,2,17,5.0,31.0,9.0,10.0,200.0,94.0,17.2,1015.1,-11.5,0.0,NW,3.4,Aotizhongxin,2016-04-02
27114,2016,4,3,17,22.0,71.0,2.0,13.0,300.0,102.0,17.6,1012.7,-10.3,0.0,SSW,2.8,Aotizhongxin,2016-04-03
27138,2016,4,4,17,82.0,103.0,14.0,17.0,500.0,144.0,20.6,1004.5,1.4,0.0,SW,4.5,Aotizhongxin,2016-04-04
27162,2016,4,5,17,154.0,223.0,30.0,37.0,1300.0,142.0,18.7,1006.1,5.2,0.0,ESE,5.0,Aotizhongxin,2016-04-05
27186,2016,4,6,17,214.0,231.0,25.0,32.0,1600.0,118.0,19.3,999.9,10.8,0.0,SSW,2.2,Aotizhongxin,2016-04-06
27210,2016,4,7,17,13.0,46.0,2.0,10.0,200.0,105.0,23.1,1006.5,-7.9,0.0,NW,5.4,Aotizhongxin,2016-04-07
27234,2016,4,8,17,28.0,156.0,5.0,23.0,300.0,107.0,23.3,1004.2,-8.9,0.0,SW,5.2,Aotizhongxin,2016-04-08
27258,2016,4,9,17,,432.0,13.0,26.0,600.0,104.0,17.4,1005.0,-1.3,0.0,SSE,2.5,Aotizhongxin,2016-04-09
27282,2016,4,10,17,,221.0,19.0,30.0,900.0,121.0,18.5,1012.0,-6.3,0.0,S,2.9,Aotizhongxin,2016-04-10
27306,2016,4,11,17,63.0,149.0,12.0,35.0,400.0,97.0,14.5,1007.5,-5.3,0.0,SE,3.3,Aotizhongxin,2016-04-11
27330,2016,4,12,17,44.0,108.0,8.0,47.0,700.0,85.0,17.7,1000.9,5.9,0.0,ESE,3.3,Aotizhongxin,2016-04-12
27354,2016,4,13,17,13.0,79.0,2.0,12.0,200.0,128.0,25.4,997.5,-7.2,0.0,WNW,5.0,Aotizhongxin,2016-04-13
27378,2016,4,14,17,29.0,107.0,2.0,16.0,300.0,133.0,22.7,1009.2,-5.3,0.0,SSW,2.9,Aotizhongxin,2016-04-14
27402,2016,4,15,17,76.0,187.0,23.0,34.0,900.0,134.0,21.4,1003.9,5.3,0.0,SSW,2.8,Aotizhongxin,2016-04-15
27426,2016,4,16,17,13.0,26.0,3.0,7.0,200.0,89.0,18.0,1003.6,-4.7,0.0,NW,5.8,Aotizhongxin,2016-04-16
27450,2016,4,17,17,7.0,10.0,2.0,6.0,200.0,101.0,19.2,1004.9,-12.0,0.0,NW,3.3,Aotizhongxin,2016-04-17
27474,2016,4,18,17,12.0,12.0,3.0,6.0,200.0,120.0,19.4,1007.6,-10.8,0.0,NNE,3.3,Aotizhongxin,2016-04-18
27498,2016,4,19,17,88.0,104.0,21.0,53.0,1800.0,40.0,14.5,1009.8,5.6,0.0,E,1.7,Aotizhongxin,2016-04-19
27522,2016,4,20,17,44.0,44.0,3.0,25.0,400.0,133.0,26.2,1003.6,-1.6,0.0,WSW,2.3,Aotizhongxin,2016-04-20
27546,2016,4,21,17,104.0,305.0,2.0,13.0,300.0,139.0,28.9,995.4,-3.4,0.0,NW,5.2,Aotizhongxin,2016-04-21
27570,2016,4,22,17,24.0,43.0,2.0,9.0,200.0,117.0,24.3,1003.5,-10.6,0.0,NW,5.2,Aotizhongxin,2016-04-22
27594,2016,4,23,17,32.0,62.0,3.0,19.0,300.0,117.0,20.4,1008.5,-9.0,0.0,SSW,3.1,Aotizhongxin,2016-04-23
27618,2016,4,24,17,150.0,211.0,44.0,22.0,900.0,198.0,24.2,1002.4,8.6,0.0,SW,4.5,Aotizhongxin,2016-04-24
27642,2016,4,25,17,74.0,99.0,5.0,15.0,400.0,167.0,27.1,1006.9,5.4,0.0,SW,4.1,Aotizhongxin,2016-04-25
27666,2016,4,26,17,65.0,95.0,12.0,24.0,600.0,152.0,21.8,1009.5,4.4,0.0,SSE,2.4,Aotizhongxin,2016-04-26
27690,2016,4,27,17,93.0,93.0,7.0,42.0,1100.0,82.0,17.2,1008.5,9.4,0.0,NE,0.9,Aotizhongxin,2016-04-27
27714,2016,4,28,17,55.0,61.0,4.0,19.0,500.0,205.0,24.7,1007.1,6.4,0.0,SSE,2.4,Aotizhongxin,2016-04-28
27738,2016,4,29,17,175.0,175.0,23.0,30.0,1300.0,227.0,24.2,999.9,10.8,0.0,NNE,1.6,Aotizhongxin,2016-04-29
27762,2016,4,30,17,78.0,95.0,11.0,16.0,700.0,232.0,29.1,995.2,15.2,0.0,SE,2.9,Aotizhongxin,2016-04-30
27786,2016,5,1,17,203.0,203.0,28.0,24.0,1900.0,289.0,27.9,993.5,15.5,0.0,NW,0.7,Aotizhongxin,2016-05-01
27810,2016,5,2,17,63.0,113.0,2.0,14.0,200.0,50.0,11.7,1003.6,8.5,0.4,ENE,4.4,Aotizhongxin,2016-05-02
27834,2016,5,3,17,15.0,87.0,2.0,17.0,200.0,109.0,26.1,994.3,-10.8,0.0,NNW,4.8,Aotizhongxin,2016-05-03
27858,2016,5,4,17,17.0,53.0,6.0,29.0,400.0,154.0,27.1,999.4,-1.8,0.0,S,1.5,Aotizhongxin,2016-05-04
27882,2016,5,5,17,68.0,90.0,17.0,29.0,1100.0,145.0,23.1,998.1,8.0,0.0,SSW,2.7,Aotizhongxin,2016-05-05
27906,2016,5,6,17,13.0,15.0,2.0,17.0,200.0,93.0,25.3,1005.9,-4.1,0.0,N,2.4,Aotizhongxin,2016-05-06
27930,2016,5,7,17,37.0,44.0,2.0,13.0,200.0,148.0,25.8,1010.8,-6.9,0.0,SW,4.4,Aotizhongxin,2016-05-07
27954,2016,5,8,17,76.0,90.0,25.0,15.0,700.0,177.0,24.9,1004.7,8.8,0.0,SSW,3.6,Aotizhongxin,2016-05-08
27978,2016,5,9,17,24.0,24.0,3.0,13.0,400.0,86.0,18.6,1007.7,10.2,0.0,NNE,2.0,Aotizhongxin,2016-05-09
28002,2016,5,10,17,40.0,74.0,4.0,14.0,400.0,178.0,27.4,1001.8,6.2,0.0,SSW,3.0,Aotizhongxin,2016-05-10
28026,2016,5,11,17,173.0,173.0,20.0,20.0,1300.0,195.0,26.7,994.1,15.4,0.0,SW,1.5,Aotizhongxin,2016-05-11
28050,2016,5,12,17,17.0,17.0,2.0,10.0,200.0,100.0,21.4,1010.4,-3.9,0.0,N,3.5,Aotizhongxin,2016-05-12
28074,2016,5,13,17,53.0,53.0,16.0,19.0,700.0,144.0,22.9,1013.7,1.2,0.0,S,4.2,Aotizhongxin,2016-05-13
28098,2016,5,14,17,41.0,41.0,2.0,27.0,600.0,65.0,13.5,1010.7,11.4,0.2,SSW,1.4,Aotizhongxin,2016-05-14
28122,2016,5,15,17,3.0,5.0,2.0,12.0,200.0,101.0,24.2,1006.5,-7.0,0.0,NW,1.7,Aotizhongxin,2016-05-15
28146,2016,5,16,17,10.0,23.0,2.0,17.0,200.0,139.0,30.0,1000.9,-0.4,0.0,WSW,4.8,Aotizhongxin,2016-05-16
28170,2016,5,17,17,65.0,65.0,15.0,16.0,600.0,231.0,31.4,1002.9,4.2,0.0,SSW,4.8,Aotizhongxin,2016-05-17
28194,2016,5,18,17,42.0,42.0,6.0,15.0,500.0,196.0,28.8,1006.9,11.4,0.0,SSE,2.7,Aotizhongxin,2016-05-18
28218,2016,5,19,17,55.0,66.0,11.0,16.0,600.0,249.0,28.9,1008.4,7.5,0.0,S,2.2,Aotizhongxin,2016-05-19
28242,2016,5,20,17,81.0,81.0,22.0,22.0,1000.0,266.0,28.0,1010.0,6.7,0.0,ESE,3.4,Aotizhongxin,2016-05-20
28266,2016,5,21,17,55.0,55.0,16.0,19.0,1000.0,231.0,28.7,1012.9,3.5,0.0,ESE,2.7,Aotizhongxin,2016-05-21
28290,2016,5,22,17,45.0,45.0,8.0,14.0,700.0,233.0,28.6,1009.6,4.8,0.0,S,2.1,Aotizhongxin,2016-05-22
28314,2016,5,23,17,48.0,48.0,7.0,17.0,500.0,158.0,20.9,1003.2,11.8,0.0,W,3.4,Aotizhongxin,2016-05-23
28338,2016,5,24,17,11.0,17.0,4.0,11.0,200.0,146.0,29.0,994.6,4.5,0.0,SSW,2.9,Aotizhongxin,2016-05-24
28362,2016,5,25,17,14.0,34.0,4.0,16.0,200.0,141.0,26.7,1001.0,4.4,0.0,SW,3.4,Aotizhongxin,2016-05-25
28386,2016,5,26,17,8.0,11.0,3.0,6.0,200.0,134.0,30.1,1004.1,-0.3,0.0,WNW,2.7,Aotizhongxin,2016-05-26
28410,2016,5,27,17,58.0,125.0,22.0,17.0,700.0,203.0,27.3,1003.2,7.7,0.0,SSW,4.3,Aotizhongxin,2016-05-27
28434,2016,5,28,17,40.0,81.0,17.0,14.0,800.0,214.0,29.4,998.8,7.9,0.0,SSW,4.4,Aotizhongxin,2016-05-28
28458,2016,5,29,17,17.0,35.0,5.0,16.0,200.0,185.0,30.7,1000.3,-0.9,0.0,S,2.7,Aotizhongxin,2016-05-29
28482,2016,5,30,17,121.0,164.0,23.0,21.0,1000.0,336.0,34.0,995.8,15.9,0.0,SSW,2.2,Aotizhongxin,2016-05-30
28506,2016,5,31,17,25.0,90.0,10.0,23.0,700.0,104.0,25.8,1006.1,4.8,0.0,SSW,1.2,Aotizhongxin,2016-05-31
28530,2016,6,1,17,39.0,47.0,5.0,24.0,500.0,196.0,29.0,1005.8,6.4,0.0,S,2.1,Aotizhongxin,2016-06-01
28554,2016,6,2,17,43.0,58.0,14.0,15.0,700.0,242.0,30.7,1001.9,5.9,0.0,SSW,2.9,Aotizhongxin,2016-06-02
28578,2016,6,3,17,65.0,69.0,21.0,22.0,800.0,251.0,28.3,1000.1,12.2,0.0,SE,2.7,Aotizhongxin,2016-06-03
28602,2016,6,4,17,69.0,100.0,13.0,15.0,700.0,263.0,30.3,1001.3,12.2,0.0,SE,2.6,Aotizhongxin,2016-06-04
28626,2016,6,5,17,77.0,77.0,11.0,15.0,700.0,257.0,30.0,1003.1,12.4,0.0,SSE,2.4,Aotizhongxin,2016-06-05
28650,2016,6,6,17,120.0,120.0,10.0,18.0,1000.0,282.0,30.0,1002.4,14.9,0.0,S,2.3,Aotizhongxin,2016-06-06
28674,2016,6,7,17,69.0,74.0,3.0,18.0,800.0,163.0,26.3,1004.8,15.4,0.0,WSW,2.7,Aotizhongxin,2016-06-07
28698,2016,6,8,17,114.0,114.0,3.0,19.0,1000.0,230.0,29.4,1001.5,17.9,0.0,WSW,3.0,Aotizhongxin,2016-06-08
28722,2016,6,9,17,54.0,62.0,5.0,12.0,500.0,226.0,33.0,997.1,12.1,0.0,SW,4.0,Aotizhongxin,2016-06-09
28746,2016,6,10,17,32.0,32.0,3.0,19.0,600.0,140.0,27.3,996.8,17.2,0.0,ESE,0.9,Aotizhongxin,2016-06-10
28770,2016,6,11,17,6.0,12.0,2.0,14.0,200.0,123.0,29.6,1002.1,8.6,0.0,E,1.4,Aotizhongxin,2016-06-11
28794,2016,6,12,17,43.0,43.0,7.0,17.0,500.0,231.0,30.4,998.9,12.3,0.0,SSW,1.6,Aotizhongxin,2016-06-12
28818,2016,6,13,17,42.0,42.0,2.0,21.0,600.0,104.0,19.3,997.0,17.6,0.0,ENE,1.3,Aotizhongxin,2016-06-13
28842,2016,6,14,17,23.0,38.0,2.0,20.0,600.0,91.0,19.4,996.5,14.6,0.0,E,1.2,Aotizhongxin,2016-06-14
28866,2016,6,15,17,15.0,35.0,3.0,18.0,300.0,181.0,23.1,997.0,17.1,5.3,N,3.4,Aotizhongxin,2016-06-15
28890,2016,6,16,17,16.0,16.0,2.0,17.0,300.0,165.0,34.2,990.6,8.8,0.0,SW,2.9,Aotizhongxin,2016-06-16
28914,2016,6,17,17,24.0,30.0,2.0,38.0,800.0,63.0,26.0,995.4,14.5,0.1,ESE,1.2,Aotizhongxin,2016-06-17
28938,2016,6,18,17,37.0,83.0,8.0,16.0,500.0,221.0,31.7,999.3,15.2,0.0,S,3.2,Aotizhongxin,2016-06-18
28962,2016,6,19,17,27.0,62.0,4.0,14.0,300.0,203.0,34.4,998.2,11.5,0.0,SW,3.4,Aotizhongxin,2016-06-19
28986,2016,6,20,17,53.0,62.0,5.0,20.0,700.0,247.0,32.4,996.0,19.3,0.0,SSW,1.9,Aotizhongxin,2016-06-20
29010,2016,6,21,17,116.0,167.0,3.0,17.0,1000.0,266.0,34.4,994.6,21.1,0.0,SSW,2.6,Aotizhongxin,2016-06-21
29034,2016,6,22,17,65.0,81.0,3.0,16.0,700.0,251.0,32.7,995.2,21.2,0.0,SSW,2.6,Aotizhongxin,2016-06-22
29058,2016,6,23,17,49.0,52.0,9.0,21.0,1100.0,204.0,31.5,997.8,15.0,0.0,SSW,1.7,Aotizhongxin,2016-06-23
29082,2016,6,24,17,15.0,25.0,2.0,20.0,300.0,80.0,32.7,999.2,6.8,0.0,NNW,1.2,Aotizhongxin,2016-06-24
29106,2016,6,25,17,22.0,26.0,2.0,14.0,200.0,121.0,37.1,1000.2,6.2,0.0,WNW,1.3,Aotizhongxin,2016-06-25
29130,2016,6,26,17,41.0,63.0,5.0,16.0,300.0,188.0,35.5,998.9,7.5,0.0,SW,4.1,Aotizhongxin,2016-06-26
29154,2016,6,27,17,69.0,69.0,3.0,37.0,800.0,134.0,25.8,998.2,18.0,0.0,ESE,2.8,Aotizhongxin,2016-06-27
