,Fresh,Milk,Grocery,Frozen,Detergents_Paper,Delicassen
373,15076,6257,7398,1504,1916,3113
374,6338,2256,1668,1492,311,686
375,5841,1450,1162,597,476,70
376,3136,8630,13586,5641,4666,1426
377,38793,3154,2648,1034,96,1242
378,3225,3294,1902,282,68,1114
379,4048,5164,10391,130,813,179
380,28257,944,2146,3881,600,270
381,17770,4591,1617,9927,246,532
382,34454,7435,8469,2540,1711,2893
383,1821,1364,3450,4006,397,361
384,10683,21858,15400,3635,282,5120
385,11635,922,1614,2583,192,1068
386,1206,3620,2857,1945,353,967
387,20918,1916,1573,1960,231,961
388,9785,848,1172,1677,200,406
389,9385,1530,1422,3019,227,684
390,3352,1181,1328,5502,311,1000
391,2647,2761,2313,907,95,1827
392,518,4180,3600,659,122,654
393,23632,6730,3842,8620,385,819
394,12377,865,3204,1398,149,452
395,9602,1316,1263,2921,841,290
396,4515,11991,9345,2644,3378,2213
397,11535,1666,1428,6838,64,743
398,11442,1032,582,5390,74,247
399,9612,577,935,1601,469,375
400,4446,906,1238,3576,153,1014
401,27167,2801,2128,13223,92,1902
402,26539,4753,5091,220,10,340
403,25606,11006,4604,127,632,288
404,18073,4613,3444,4324,914,715
405,6884,1046,1167,2069,593,378
406,25066,5010,5026,9806,1092,960
407,7362,12844,18683,2854,7883,553
408,8257,3880,6407,1646,2730,344
409,8708,3634,6100,2349,2123,5137
410,6633,2096,4563,1389,1860,1892
411,2126,3289,3281,1535,235,4365
412,97,3605,12400,98,2970,62
413,4983,4859,6633,17866,912,2435
414,5969,1990,3417,5679,1135,290
415,7842,6046,8552,1691,3540,1874
416,4389,10940,10908,848,6728,993
417,5065,5499,11055,364,3485,1063
418,660,8494,18622,133,6740,776
419,8861,3783,2223,633,1580,1521
420,4456,5266,13227,25,6818,1393
421,17063,4847,9053,1031,3415,1784
422,26400,1377,4172,830,948,1218
423,17565,3686,4657,1059,1803,668
424,16980,2884,12232,874,3213,249
425,11243,2408,2593,15348,108,1886
426,13134,9347,14316,3141,5079,1894
427,31012,16687,5429,15082,439,1163
428,3047,5970,4910,2198,850,317
429,8607,1750,3580,47,84,2501
430,3097,4230,16483,575,241,2080
431,8533,5506,5160,13486,1377,1498
432,21117,1162,4754,269,1328,395
433,1982,3218,1493,1541,356,1449
434,16731,3922,7994,688,2371,838
435,29703,12051,16027,13135,182,2204
436,39228,1431,764,4510,93,2346
437,14531,15488,30243,437,14841,1867
438,10290,1981,2232,1038,168,2125
439,2787,1698,2510,65,477,52
